TopN,MAE,Precision,Recall,F1,Algo,Dataset,Neighbors,Sparsity
10,0.7446623578666356,0.6258748674443266,0.6656520703928697,0.6451509281236462,KNN,ml-100k,75.0,0.25
10,0.740789649979187,0.6259809119830329,0.6643925597284579,0.6446150197150835,SVD,ml-100k,,0.25
10,0.7514469770968466,0.6836691410392365,0.5697056272034905,0.6215062990960125,KNN,ml-100k,73.0,0.35
10,0.7472541698988806,0.6812301166489926,0.5673832628826441,0.6191164898508702,SVD,ml-100k,,0.35
10,0.7539239825242717,0.7030752916224814,0.530482639666775,0.604704857589577,KNN,ml-100k,72.0,0.4
10,0.7521655493418665,0.7015906680805939,0.528648886281902,0.6029640714954536,SVD,ml-100k,,0.4
10,0.7565779911000776,0.7174973488865324,0.4916747983795926,0.5834989916849882,KNN,ml-100k,70.0,0.45
10,0.7522409068325258,0.7209968186638388,0.4946443138372637,0.5867471363247923,SVD,ml-100k,,0.45
10,0.7607841297829224,0.7294803817603394,0.4609540404321299,0.5649314621952944,KNN,ml-100k,68.0,0.5
10,0.755482513998658,0.7283138918345705,0.45794127431099413,0.5623157668662935,SVD,ml-100k,,0.5
10,0.7764827390704369,0.7311770943796394,0.3928700866556971,0.5111130800844191,KNN,ml-100k,66.0,0.6
10,0.7622364939543032,0.7398727465535525,0.3991534561376095,0.5185530643476347,SVD,ml-100k,,0.6
10,0.7852105873714367,0.7241781548250265,0.3625823671300945,0.4832237172693424,KNN,ml-100k,64.0,0.65
10,0.7655784493712977,0.7444326617179216,0.3728070883591555,0.4968132812592249,SVD,ml-100k,,0.65
10,0.7968831291526339,0.7187698833510073,0.3337743890067145,0.45586106913016233,KNN,ml-100k,63.0,0.7
10,0.7701699547925606,0.7461293743372217,0.34748878957778145,0.4741537800153424,SVD,ml-100k,,0.7
10,0.8125340341452447,0.703287380699894,0.3048839930042567,0.42536630269411063,KNN,ml-100k,61.0,0.75
10,0.773704397200364,0.7509013785790032,0.32749449681195647,0.45607754025205466,SVD,ml-100k,,0.75
10,0.7446623578666356,0.6258748674443266,0.6656520703928697,0.6451509281236462,KNN,ml-100k,75.0,0.25
10,0.7395806568986052,0.6230116648992576,0.6633820362402811,0.642563387081582,SVD,ml-100k,,0.25
15,0.7446623578666356,0.5412513255567338,0.7680234626454159,0.6349984296059349,KNN,ml-100k,75.0,0.25
15,0.7402493898920562,0.5372923294450336,0.7638837700009339,0.6308583294510468,SVD,ml-100k,,0.25
20,0.7446623578666356,0.47555673382820784,0.8301240851243342,0.6046977069182272,KNN,ml-100k,75.0,0.25
20,0.7390311494866476,0.4757158006362673,0.8307714871378794,0.6049980384009662,SVD,ml-100k,,0.25
25,0.7446623578666356,0.4259172852598091,0.8746481969247359,0.5728704793330972,KNN,ml-100k,75.0,0.25
25,0.7404512915272379,0.4258324496288441,0.8745582560142297,0.5727744483032138,SVD,ml-100k,,0.25
30,0.7446623578666356,0.3842347119123365,0.9052129057121334,0.5394778590330076,KNN,ml-100k,75.0,0.25
30,0.7401579998597474,0.3835630965005302,0.9051767660358022,0.5388091318564924,SVD,ml-100k,,0.25
35,0.7446623578666356,0.3502196636873201,0.928205311961076,0.5085566355161656,KNN,ml-100k,75.0,0.25
35,0.7411612086541687,0.34882593546432356,0.9265457123557848,0.5068376349990064,SVD,ml-100k,,0.25
40,0.7446623578666356,0.3211028632025451,0.9450814836538135,0.47934310847293327,KNN,ml-100k,75.0,0.25
40,0.7403331976122989,0.32001590668080593,0.943586223894042,0.4779393666162917,SVD,ml-100k,,0.25
45,0.7446623578666356,0.2953929539295393,0.9573483182598574,0.4514802121526999,KNN,ml-100k,75.0,0.25
45,0.7416946162795092,0.2950159066808059,0.9566548446464105,0.45096267700540865,SVD,ml-100k,,0.25
50,0.7446623578666356,0.27291622481442207,0.9659844228441088,0.42559154749076494,KNN,ml-100k,75.0,0.25
50,0.7403367227231279,0.2722799575821845,0.9653175806205565,0.42475299407333605,SVD,ml-100k,,0.25
55,0.7446623578666356,0.25335004338185674,0.9727802199409845,0.4020028186159679,KNN,ml-100k,75.0,0.25
55,0.7417447185889837,0.2526559336739612,0.9717728521925358,0.4010428048144299,SVD,ml-100k,,0.25
60,0.7446623578666356,0.23536585365853657,0.9772230861208404,0.37936177435612956,KNN,ml-100k,75.0,0.25
60,0.7394468250106966,0.23518911276069282,0.9766787392960767,0.37909117855948515,SVD,ml-100k,,0.25
65,0.7446623578666356,0.2197569132881964,0.9806837290223305,0.35905486969701794,KNN,ml-100k,75.0,0.25
65,0.7401046986826632,0.21931642058895506,0.9798875439776195,0.3584134727282136,SVD,ml-100k,,0.25
70,0.7446623578666356,0.20555976367217085,0.9827375521765472,0.3400012712018896,KNN,ml-100k,75.0,0.25
70,0.7394159895880602,0.20525677927586727,0.9824079158528983,0.33956702690605933,SVD,ml-100k,,0.25
75,0.7446623578666356,0.19300106044538706,0.9844347794653473,0.32273003748643686,KNN,ml-100k,75.0,0.25
75,0.7376446814004054,0.19285966772711205,0.9842756596046757,0.3225237952776811,SVD,ml-100k,,0.25
80,0.7446623578666356,0.18172057264050903,0.9856591437189985,0.3068659520375115,KNN,ml-100k,75.0,0.25
80,0.7392128968438142,0.18141569459172852,0.9854067897633711,0.30641894481341303,SVD,ml-100k,,0.25
