Dataset,Algo,Sparsity,MAE
ml-100k,KNN,0.25,0.7446623578666356
ml-100k,KNN,0.35,0.7514469770968466
ml-100k,KNN,0.4,0.7539239825242717
ml-100k,KNN,0.45,0.7565779911000776
ml-100k,KNN,0.5,0.7607841297829224
ml-100k,KNN,0.6,0.7764827390704369
ml-100k,KNN,0.65,0.7852105873714367
ml-100k,KNN,0.7,0.7968831291526339
ml-100k,KNN,0.75,0.8125340341452447
ml-100k,SVD,0.25,0.7376446814004054
ml-100k,SVD,0.35,0.7472541698988806
ml-100k,SVD,0.4,0.7521655493418665
ml-100k,SVD,0.45,0.7522409068325258
ml-100k,SVD,0.5,0.755482513998658
ml-100k,SVD,0.6,0.7622364939543032
ml-100k,SVD,0.65,0.7655784493712977
ml-100k,SVD,0.7,0.7701699547925606
ml-100k,SVD,0.75,0.772485077605068
