Dataset,Algo,Sparsity,TopN,Precision,Recall,F1
ml-100k,KNN,0.25,10,0.6258748674443266,0.6656520703928697,0.6451509281236462
ml-100k,KNN,0.25,15,0.5412513255567338,0.7680234626454159,0.6349984296059349
ml-100k,KNN,0.25,20,0.4755567338282078,0.8301240851243342,0.6046977069182272
ml-100k,KNN,0.25,25,0.4259172852598091,0.8746481969247359,0.5728704793330972
ml-100k,KNN,0.25,30,0.3842347119123365,0.9052129057121334,0.5394778590330076
ml-100k,KNN,0.25,35,0.3502196636873201,0.928205311961076,0.5085566355161656
ml-100k,KNN,0.25,40,0.3211028632025451,0.9450814836538136,0.4793431084729332
ml-100k,KNN,0.25,45,0.2953929539295393,0.9573483182598574,0.4514802121526999
ml-100k,KNN,0.25,50,0.272916224814422,0.9659844228441088,0.4255915474907649
ml-100k,KNN,0.25,55,0.2533500433818567,0.9727802199409844,0.4020028186159679
ml-100k,KNN,0.25,60,0.2353658536585365,0.9772230861208404,0.3793617743561295
ml-100k,KNN,0.25,65,0.2197569132881964,0.9806837290223304,0.3590548696970179
ml-100k,KNN,0.25,70,0.2055597636721708,0.9827375521765472,0.3400012712018896
ml-100k,KNN,0.25,75,0.193001060445387,0.9844347794653472,0.3227300374864368
ml-100k,KNN,0.25,80,0.181720572640509,0.9856591437189984,0.3068659520375115
ml-100k,KNN,0.25,85,0.1716299669390555,0.9865751885617852,0.2923935646315275
ml-100k,KNN,0.25,90,0.162483798751031,0.9871619845908008,0.279038694462341
ml-100k,KNN,0.25,95,0.1541664341128537,0.9875039673222862,0.2666968770023278
ml-100k,KNN,0.25,100,0.146712619300106,0.9879356502220614,0.2554846833813468
ml-100k,KNN,0.35,10,0.6836691410392365,0.5697056272034905,0.6215062990960125
ml-100k,KNN,0.4,10,0.7030752916224814,0.530482639666775,0.604704857589577
ml-100k,KNN,0.45,10,0.7174973488865324,0.4916747983795926,0.5834989916849882
ml-100k,KNN,0.5,10,0.7294803817603394,0.4609540404321299,0.5649314621952944
ml-100k,KNN,0.6,10,0.7311770943796394,0.3928700866556971,0.5111130800844191
ml-100k,KNN,0.65,10,0.7241781548250265,0.3625823671300945,0.4832237172693424
