TopN,MAE,Precision,Recall,F1,Algo,Dataset,Neighbors,Sparsity
10,0.7451130507564178,0.6242841993637328,0.6650042810700078,0.6440012014092917,KNN,ml-100k,50.0,0.25
10,0.740756449829057,0.6227995758218451,0.6635590218826383,0.6425335487300956,SVD,ml-100k,,0.25
10,0.7450708232392746,0.6254506892895015,0.6657181077989622,0.6449564926511091,KNN,ml-100k,51.0,0.25
10,0.7381096200116902,0.6261930010604454,0.6662511052434751,0.6456012712926474,SVD,ml-100k,,0.25
10,0.7449234942584692,0.6247083775185578,0.6650120350886672,0.6442304632997606,KNN,ml-100k,52.0,0.25
10,0.7389676856698216,0.6247083775185578,0.664916386162288,0.6441855778255559,SVD,ml-100k,,0.25
10,0.7449561379261416,0.6244962884411452,0.6649023448042977,0.6440662116431105,KNN,ml-100k,53.0,0.25
10,0.7394815239017486,0.6242841993637328,0.6646747960555718,0.6438466613250502,SVD,ml-100k,,0.25
10,0.7449458061764198,0.6253446447507954,0.6654002130113341,0.644750908470185,KNN,ml-100k,54.0,0.25
10,0.7392763913886022,0.6225874867444326,0.6632617670179622,0.6422813177720896,SVD,ml-100k,,0.25
10,0.7449675218797194,0.6253446447507954,0.6651607963327312,0.6446384937914039,KNN,ml-100k,55.0,0.25
10,0.7435873547074255,0.6242841993637328,0.6643130586528406,0.6436769027218078,SVD,ml-100k,,0.25
10,0.7449401976694873,0.6256627783669141,0.6655533302272868,0.6449918692459948,KNN,ml-100k,56.0,0.25
10,0.7393263605402094,0.6246023329798516,0.663557806064783,0.6434910399299266,SVD,ml-100k,,0.25
10,0.744866464937847,0.6250265111346766,0.6651527525237091,0.6444656428637194,KNN,ml-100k,57.0,0.25
10,0.7422793655149293,0.6227995758218451,0.6618749489823754,0.6417429932864106,SVD,ml-100k,,0.25
10,0.7448416350165463,0.6247083775185578,0.6651783844962101,0.6443085107563656,KNN,ml-100k,58.0,0.25
10,0.7417284847546138,0.6251325556733828,0.6659522684648195,0.6448971217979962,SVD,ml-100k,,0.25
10,0.7448293111202521,0.6247083775185578,0.6652546485264694,0.6443442854200732,KNN,ml-100k,59.0,0.25
10,0.7406135055304665,0.6249204665959702,0.6644391028171677,0.6440741652014164,SVD,ml-100k,,0.25
10,0.7448240126155272,0.6251325556733828,0.6650452374089921,0.6444715311781075,KNN,ml-100k,60.0,0.25
10,0.738888477276032,0.6277836691410392,0.6670937853014633,0.6468420355315303,SVD,ml-100k,,0.25
10,0.7447724284931726,0.6251325556733828,0.6652860262641765,0.6445845707334027,KNN,ml-100k,61.0,0.25
10,0.7385199593247479,0.6247083775185578,0.6646830983706167,0.644076074197354,SVD,ml-100k,,0.25
10,0.7447788596376084,0.6250265111346766,0.66536600846619,0.6445657248971999,KNN,ml-100k,62.0,0.25
10,0.7397944630404388,0.6225874867444326,0.6637317749683559,0.6425016089702883,SVD,ml-100k,,0.25
10,0.7448097283464654,0.6252386002120891,0.6655986993211868,0.6447876881416968,KNN,ml-100k,63.0,0.25
10,0.7409749628785551,0.6221633085896077,0.6613499085908566,0.6411584107691644,SVD,ml-100k,,0.25
10,0.7447965278322899,0.6252386002120891,0.6653970296209455,0.6446930454559087,KNN,ml-100k,64.0,0.25
10,0.7419457943880491,0.6215270413573701,0.6622928231822814,0.641262704020093,SVD,ml-100k,,0.25
10,0.7447644346152142,0.6261930010604454,0.6660251414459379,0.6454951658468598,KNN,ml-100k,65.0,0.25
10,0.7415264173502953,0.6247083775185578,0.6646811175627944,0.6440751442506154,SVD,ml-100k,,0.25
10,0.7447043086500221,0.6262990455991516,0.6663235447649034,0.6456916400153102,KNN,ml-100k,66.0,0.25
10,0.7406504684702347,0.6215270413573701,0.6626299319896589,0.6414206825057239,SVD,ml-100k,,0.25
10,0.7446705417213308,0.6259809119830329,0.6661023515728629,0.6454187114290184,KNN,ml-100k,67.0,0.25
10,0.7416632066435204,0.6219512195121951,0.6620579880555332,0.6413782247542168,SVD,ml-100k,,0.25
10,0.7446705742997756,0.6266171792152704,0.666253647280633,0.6458278314352525,KNN,ml-100k,68.0,0.25
10,0.7387359616021687,0.6237539766702015,0.6631158827511422,0.6428329420120007,SVD,ml-100k,,0.25
10,0.7446633745063993,0.6262990455991516,0.6663530310795603,0.645705483983776,KNN,ml-100k,69.0,0.25
10,0.7402542627796125,0.62067868504772,0.6621746430780828,0.6407555372492955,SVD,ml-100k,,0.25
10,0.7447324952021768,0.6260869565217391,0.6659471292198643,0.6454021854978198,KNN,ml-100k,70.0,0.25
10,0.7370640326596919,0.629374337221633,0.6676432866049479,0.6479442426815394,SVD,ml-100k,,0.25
10,0.7447474889053637,0.6261930010604454,0.6659923191746909,0.6454797504607432,KNN,ml-100k,71.0,0.25
10,0.7423205346722549,0.6207847295864263,0.6612932807755364,0.6403990508622197,SVD,ml-100k,,0.25
10,0.7447608780756574,0.6261930010604454,0.6660263790277352,0.6454957470771551,KNN,ml-100k,72.0,0.25
10,0.7413175376806321,0.6249204665959702,0.663747128690763,0.6437488874248832,SVD,ml-100k,,0.25
10,0.7447221835154917,0.6265111346765642,0.6660313865146128,0.6456670830618764,KNN,ml-100k,73.0,0.25
10,0.7411964746807111,0.6215270413573701,0.6635164012055901,0.641835710878226,SVD,ml-100k,,0.25
10,0.7447213604587933,0.6261930010604454,0.665836173528475,0.645406403998665,KNN,ml-100k,74.0,0.25
10,0.7413294880457822,0.6257688229056204,0.6646954306206518,0.6446450199199751,SVD,ml-100k,,0.25
10,0.7446623578666356,0.6258748674443266,0.6656520703928697,0.6451509281236462,KNN,ml-100k,75.0,0.25
