Dataset,Algo,Sparsity,MAE
custom,KNN,0.25,0.8705773034630058
custom,KNN,0.35,0.8806864965595417
custom,KNN,0.4,0.9041146877759328
custom,KNN,0.45,0.9459400469350376
custom,KNN,0.5,0.9864912593934548
custom,KNN,0.6,1.073342396543346
custom,KNN,0.65,1.1147680733364247
custom,KNN,0.7,1.181776123288176
custom,KNN,0.75,1.224468463591546
custom,SVD,0.25,0.9561920876097068
custom,SVD,0.35,0.9936629148452978
custom,SVD,0.4,1.0219345795167027
custom,SVD,0.45,1.0488152102527166
custom,SVD,0.5,1.0682498387254422
custom,SVD,0.6,1.124200964186432
custom,SVD,0.65,1.1302287724422302
custom,SVD,0.7,1.138411677782021
custom,SVD,0.75,1.1376308985458072
