Dataset,Algo,Sparsity,Neighbors,MAE
ml-100k,KNN,0.25,50.0,0.7451130507564178
ml-100k,KNN,0.25,51.0,0.7450708232392746
ml-100k,KNN,0.25,52.0,0.7449234942584692
ml-100k,KNN,0.25,53.0,0.7449561379261416
ml-100k,KNN,0.25,54.0,0.7449458061764198
ml-100k,KNN,0.25,55.0,0.7449675218797194
ml-100k,KNN,0.25,56.0,0.7449401976694873
ml-100k,KNN,0.25,57.0,0.744866464937847
ml-100k,KNN,0.25,58.0,0.7448416350165463
ml-100k,KNN,0.25,59.0,0.7448293111202521
ml-100k,KNN,0.25,60.0,0.7448240126155272
ml-100k,KNN,0.25,61.0,0.7447724284931726
ml-100k,KNN,0.25,62.0,0.7447788596376084
ml-100k,KNN,0.25,63.0,0.7448097283464654
ml-100k,KNN,0.25,64.0,0.7447965278322899
ml-100k,KNN,0.25,65.0,0.7447644346152142
ml-100k,KNN,0.25,66.0,0.7447043086500221
ml-100k,KNN,0.25,67.0,0.7446705417213308
ml-100k,KNN,0.25,68.0,0.7446705742997756
ml-100k,KNN,0.25,69.0,0.7446633745063993
ml-100k,KNN,0.25,70.0,0.7447324952021768
ml-100k,KNN,0.25,71.0,0.7447474889053637
ml-100k,KNN,0.25,72.0,0.7447608780756574
ml-100k,KNN,0.25,73.0,0.7447221835154917
ml-100k,KNN,0.25,74.0,0.7447213604587933
ml-100k,KNN,0.25,75.0,0.7446623578666356
ml-100k,KNN,0.25,76.0,0.7446647407566148
ml-100k,KNN,0.25,77.0,0.7446975011211885
ml-100k,KNN,0.25,78.0,0.7447247689484473
ml-100k,KNN,0.25,79.0,0.7447378565517644
ml-100k,KNN,0.25,80.0,0.7447249830590434
ml-100k,KNN,0.25,81.0,0.7446788316529044
ml-100k,KNN,0.25,82.0,0.7446624205141463
ml-100k,KNN,0.25,83.0,0.7446926843671422
ml-100k,KNN,0.25,84.0,0.7446966042360906
ml-100k,KNN,0.25,85.0,0.7446936307811792
ml-100k,KNN,0.25,86.0,0.7447431627639161
ml-100k,KNN,0.25,87.0,0.7447611049192561
ml-100k,KNN,0.25,88.0,0.7447785711079439
ml-100k,KNN,0.25,89.0,0.7448051218398201
ml-100k,KNN,0.25,90.0,0.7447975432840119
ml-100k,KNN,0.35,73.0,0.7514469770968466
ml-100k,KNN,0.4,72.0,0.7539239825242717
ml-100k,KNN,0.45,70.0,0.7565779911000776
ml-100k,KNN,0.5,68.0,0.7607841297829224
ml-100k,KNN,0.6,66.0,0.7764827390704369
ml-100k,KNN,0.65,64.0,0.7852105873714367
ml-100k,KNN,0.7,63.0,0.7968831291526339
ml-100k,KNN,0.75,50.0,0.8125370910991297
ml-100k,KNN,0.75,51.0,0.8125369986630048
ml-100k,KNN,0.75,52.0,0.8125369802442735
ml-100k,KNN,0.75,53.0,0.8125373565473667
ml-100k,KNN,0.75,54.0,0.812536712204998
ml-100k,KNN,0.75,55.0,0.8125376484055228
ml-100k,KNN,0.75,56.0,0.8125378504853339
ml-100k,KNN,0.75,57.0,0.8125369491159582
ml-100k,KNN,0.75,58.0,0.812536303976266
ml-100k,KNN,0.75,59.0,0.8125352274739296
ml-100k,KNN,0.75,60.0,0.8125344738447084
ml-100k,KNN,0.75,61.0,0.8125340341452448
ml-100k,KNN,0.75,62.0,0.8125344321212857
ml-100k,KNN,0.75,63.0,0.8125347533593453
ml-100k,KNN,0.75,64.0,0.81253492316529
ml-100k,KNN,0.75,65.0,0.812534734186373
ml-100k,KNN,0.75,66.0,0.812535069612503
ml-100k,KNN,0.75,67.0,0.8125351525528264
ml-100k,KNN,0.75,68.0,0.8125349338663815
ml-100k,KNN,0.75,69.0,0.8125349254702746
ml-100k,KNN,0.75,70.0,0.8125348588357177
ml-100k,KNN,0.75,71.0,0.8125348534695123
ml-100k,KNN,0.75,72.0,0.8125348798908207
ml-100k,KNN,0.75,73.0,0.8125349652729933
ml-100k,KNN,0.75,74.0,0.8125349175727957
ml-100k,KNN,0.75,75.0,0.8125348738718869
ml-100k,KNN,0.75,76.0,0.812534820065671
ml-100k,KNN,0.75,77.0,0.8125348025721683
ml-100k,KNN,0.75,78.0,0.8125348082294662
ml-100k,KNN,0.75,79.0,0.8125347545016363
ml-100k,KNN,0.75,80.0,0.8125348230873741
ml-100k,KNN,0.75,81.0,0.81253482317792
ml-100k,KNN,0.75,82.0,0.8125348158295727
ml-100k,KNN,0.75,83.0,0.8125348540138331
ml-100k,KNN,0.75,84.0,0.8125348201967888
ml-100k,KNN,0.75,85.0,0.8125348389166062
ml-100k,KNN,0.75,86.0,0.8125348289871084
ml-100k,KNN,0.75,87.0,0.8125348289871084
ml-100k,KNN,0.75,88.0,0.8125348289871084
ml-100k,KNN,0.75,89.0,0.8125348289871084
ml-100k,KNN,0.75,90.0,0.8125348289871084
