Dataset,Algo,Sparsity,MAE
ml-100k,KNN,0.25,0.7446623578666356
ml-100k,KNN,0.35,0.7514469770968466
ml-100k,KNN,0.4,0.7539239825242717
ml-100k,KNN,0.45,0.7565779911000776
ml-100k,KNN,0.5,0.7607841297829224
ml-100k,KNN,0.6,0.7764827390704369
ml-100k,KNN,0.65,0.7852105873714367
ml-100k,KNN,0.7,0.7968831291526339
ml-100k,KNN,0.75,0.8125340341452447
ml-100k,SVD,0.25,0.7371897967848033
ml-100k,SVD,0.35,0.7486306318250705
ml-100k,SVD,0.4,0.749877054220757
ml-100k,SVD,0.45,0.751352311262559
ml-100k,SVD,0.5,0.7553401280620984
ml-100k,SVD,0.6,0.7619997693882904
ml-100k,SVD,0.65,0.7662104929114308
ml-100k,SVD,0.7,0.7695743546471465
ml-100k,SVD,0.75,0.7720853518033467
