Dataset,Algo,Sparsity,TopN,Precision,Recall,F1
custom,KNN,0.25,10,0.198,0.88,0.32326530612244897
custom,KNN,0.25,15,0.132,0.88,0.22956521739130434
custom,KNN,0.25,20,0.099,0.88,0.17797752808988768
custom,KNN,0.25,25,0.07919999999999998,0.88,0.14532110091743117
custom,KNN,0.25,30,0.066,0.88,0.12279069767441861
custom,KNN,0.25,35,0.056571428571428564,0.88,0.10630872483221473
custom,KNN,0.25,40,0.0495,0.88,0.09372781065088759
custom,KNN,0.25,45,0.044000000000000004,0.88,0.08380952380952382
custom,KNN,0.25,50,0.03959999999999999,0.88,0.07578947368421052
custom,KNN,0.25,55,0.036,0.88,0.06917030567685589
custom,KNN,0.25,60,0.033,0.88,0.0636144578313253
custom,KNN,0.25,65,0.03046153846153846,0.88,0.05888475836431227
custom,KNN,0.25,70,0.028285714285714282,0.88,0.054809688581314873
custom,KNN,0.25,75,0.0264,0.88,0.051262135922330095
custom,KNN,0.25,80,0.02475,0.88,0.04814589665653495
custom,KNN,0.25,85,0.023294117647058826,0.88,0.04538681948424069
custom,KNN,0.25,90,0.022000000000000002,0.88,0.042926829268292686
custom,KNN,0.25,95,0.020842105263157894,0.88,0.04071979434447301
custom,KNN,0.25,100,0.019799999999999995,0.88,0.03872860635696821
custom,KNN,0.35,10,0.27988235294117647,0.9197647058823529,0.4291693762932309
custom,KNN,0.35,15,0.18666666666666665,0.92,0.3103614457831326
custom,KNN,0.35,20,0.14,0.92,0.24301886792452834
custom,KNN,0.35,25,0.11200000000000002,0.92,0.1996899224806202
custom,KNN,0.35,30,0.09333333333333332,0.92,0.1694736842105263
custom,KNN,0.35,35,0.08,0.92,0.1472
custom,KNN,0.35,40,0.07,0.92,0.13010101010101013
custom,KNN,0.35,45,0.06222222222222222,0.92,0.11656108597285068
custom,KNN,0.35,50,0.05600000000000001,0.92,0.10557377049180328
custom,KNN,0.35,55,0.05090909090909092,0.92,0.09647940074906368
custom,KNN,0.35,60,0.04666666666666666,0.92,0.08882758620689656
custom,KNN,0.35,65,0.04307692307692308,0.92,0.08230031948881791
custom,KNN,0.35,70,0.04,0.92,0.07666666666666666
custom,KNN,0.35,75,0.037333333333333336,0.92,0.07175487465181059
custom,KNN,0.35,80,0.035,0.92,0.067434554973822
custom,KNN,0.35,85,0.03294117647058823,0.92,0.06360493827160492
custom,KNN,0.35,90,0.03111111111111111,0.92,0.06018691588785047
